   2 10.244.34.5:59565                        =>     24.4MB     15.5MB     13.2MB      527MB
   3 10.244.34.5:37891                        =>     13.1MB     15.5MB     14.4MB      577MB
   4 10.244.34.5:57772                        =>     13.8MB     15.2MB     14.7MB      589MB
   5 10.244.34.5:43319                        =>     11.6MB     14.1MB     12.4MB      496MB
   6 10.244.34.5:44238                        =>     13.5MB     13.1MB     13.6MB      543MB
   7 10.244.34.5:36454                        =>     18.1MB     12.1MB     11.4MB      456MB
   8 10.244.34.5:46053                        =>     2.87MB     11.0MB     15.4MB      616MB
   1 10.244.34.5:59565                        =>     19.7MB     17.3MB     14.2MB      566MB
   2 10.244.34.5:37891                        =>     15.6MB     16.3MB     15.2MB      608MB
   3 10.244.34.5:60901                        =>     11.9MB     14.3MB     14.6MB      583MB
   4 10.244.34.5:43319                        =>     15.8MB     14.3MB     13.2MB      528MB
   5 10.244.34.5:44238                        =>     20.0MB     14.3MB     14.1MB      583MB
   6 10.244.34.5:57772                        =>     13.2MB     14.2MB     15.4MB      616MB
   7 10.244.34.5:36454                        =>     15.8MB     12.6MB     12.2MB      488MB
   8 10.244.34.5:46053                        =>         0B     8.96MB     13.4MB      616MB
   1 10.244.34.5:59565                        =>     23.7MB     19.5MB     15.0MB      614MB
   2 10.244.34.5:43319                        =>     23.2MB     16.1MB     14.2MB      574MB
   3 10.244.34.5:36454                        =>     25.5MB     15.9MB     13.4MB      539MB
   4 10.244.34.5:60901                        =>     16.4MB     15.1MB     14.6MB      616MB
   5 10.244.34.5:44238                        =>     16.9MB     14.8MB     14.0MB      617MB
   6 10.244.34.5:37891                        =>     6.18MB     13.4MB     14.3MB      621MB
   7 10.244.34.5:57772                        =>         0B     11.8MB     14.6MB      616MB
   8 10.244.34.5:46053                        =>         0B     5.50MB     12.0MB      616MB
   1 10.244.34.5:36454                        =>     38.3MB     21.8MB     14.6MB      615MB
   2 10.244.34.5:43319                        =>     20.6MB     17.3MB     14.6MB      615MB
   3 10.244.34.5:59565                        =>     1.02MB     17.1MB     14.5MB      616MB
   4 10.244.34.5:44238                        =>         0B     12.1MB     13.3MB      617MB
   5 10.244.34.5:60901                        =>        26B     11.4MB     13.7MB      616MB
   6 10.244.34.5:37891                        =>         0B     9.90MB     13.7MB      621MB
