   3 10.244.34.4:48041                        =>     15.9MB     15.8MB     15.8MB      778MB
   4 10.244.34.4:50518                        =>     15.8MB     15.8MB     15.5MB      755MB
   1 10.244.34.4:57027                        =>     16.0MB     16.0MB     15.6MB      810MB
   2 10.244.34.4:57435                        =>     15.8MB     15.9MB     15.5MB      774MB
   3 10.244.34.4:48041                        =>     15.9MB     15.8MB     15.8MB      810MB
   4 10.244.34.4:50518                        =>     15.8MB     15.8MB     15.5MB      786MB
   1 10.244.34.4:57027                        =>     15.9MB     16.0MB     15.6MB      842MB
   2 10.244.34.4:48041                        =>     16.0MB     15.8MB     15.8MB      842MB
   3 10.244.34.4:57435                        =>     15.3MB     15.8MB     15.4MB      805MB
   4 10.244.34.4:50518                        =>     15.6MB     15.7MB     15.6MB      818MB
   1 10.244.34.4:57027                        =>     15.9MB     16.0MB     15.6MB      873MB
   2 10.244.34.4:48041                        =>     15.9MB     15.9MB     15.8MB      874MB
   3 10.244.34.4:57435                        =>     15.5MB     15.7MB     15.4MB      836MB
   4 10.244.34.4:50518                        =>     15.4MB     15.7MB     15.7MB      849MB
   1 10.244.34.4:48041                        =>     16.0MB     15.9MB     15.8MB      906MB
   2 10.244.34.4:57027                        =>     15.5MB     15.9MB     15.6MB      905MB
   3 10.244.34.4:50518                        =>     15.9MB     15.7MB     15.7MB      880MB
   4 10.244.34.4:57435                        =>     15.6MB     15.6MB     15.4MB      867MB
   1 10.244.34.4:48041                        =>     15.9MB     15.9MB     15.8MB      938MB
   2 10.244.34.4:57027                        =>     15.7MB     15.8MB     15.8MB      936MB
   3 10.244.34.4:50518                        =>     15.2MB     15.6MB     15.7MB      911MB
   4 10.244.34.4:57435                        =>     15.9MB     15.6MB     15.6MB      899MB
   1 10.244.34.4:57027                        =>     16.0MB     15.8MB     15.9MB      968MB
   2 10.244.34.4:48041                        =>     15.3MB     15.8MB     15.8MB      968MB
   3 10.244.34.4:57435                        =>     15.9MB     15.6MB     15.7MB      930MB
   4 10.244.34.4:50518                        =>     15.7MB     15.6MB     15.7MB      942MB
   1 10.244.34.4:48041                        =>     15.9MB     15.8MB     15.8MB     0.98GB
   2 10.244.34.4:57435                        =>     15.9MB     15.7MB     15.8MB      962MB
   3 10.244.34.4:57027                        =>     15.3MB     15.7MB     15.9MB      999MB
   4 10.244.34.4:50518                        =>     15.9MB     15.6MB     15.7MB      974MB
   1 10.244.34.4:57435                        =>     15.9MB     15.8MB     15.8MB      994MB
   2 10.244.34.4:48041                        =>     16.0MB     15.8MB     15.8MB     1.01GB
   3 10.244.34.4:57027                        =>     16.0MB     15.7MB     15.9MB     1.01GB
   4 10.244.34.4:50518                        =>     15.7MB     15.7MB     15.7MB     0.98GB
   1 10.244.34.4:57435                        =>     16.0MB     15.9MB     15.8MB     1.00GB
   2 10.244.34.4:57027                        =>     16.1MB     15.8MB     15.9MB     1.04GB
   3 10.244.34.4:48041                        =>     15.6MB     15.7MB     15.8MB     1.04GB
   4 10.244.34.4:50518                        =>     15.9MB     15.7MB     15.7MB     1.01GB
   1 10.244.34.4:57435                        =>     16.0MB     15.9MB     15.8MB     1.03GB
   2 10.244.34.4:57027                        =>     16.1MB     15.9MB     15.9MB     1.07GB
   3 10.244.34.4:50518                        =>     15.9MB     15.8MB     15.7MB     1.04GB
   4 10.244.34.4:48041                        =>     15.7MB     15.7MB     15.8MB     1.07GB
   1 10.244.34.4:57435                        =>     15.9MB     15.9MB     15.8MB     1.06GB
   2 10.244.34.4:57027                        =>     15.9MB     15.9MB     15.9MB     1.10GB
   3 10.244.34.4:50518                        =>     15.6MB     15.8MB     15.7MB     1.07GB
   4 10.244.34.4:48041                        =>     12.6MB     15.2MB     15.6MB     1.09GB
   1 10.244.34.4:57435                        =>     15.9MB     15.9MB     15.8MB     1.10GB
   2 10.244.34.4:50518                        =>     12.1MB     15.1MB     15.5MB     1.10GB
   3 10.244.34.4:57027                        =>        26B     12.8MB     15.1MB     1.10GB
   4 10.244.34.4:48041                        =>         0B     12.0MB     14.8MB     1.09GB
