[7l--net/eth0- ----total-cpu-usage----
 recv  send|usr sys idl wai hiq siq
  12k 2182k|  4   2  94   0   0   0
  18k 4048k|  3   2  95   0   0   0
  29k 6646k|  4   3  93   0   0   0
  54k   12M|  3   3  93   1   0   0
  91k   21M|  3   3  94   0   0   0
 124k   30M|  4   3  93   0   0   0
 198k   49M|  4   4  92   0   0   0
 253k   68M|  6   7  88   0   0   0
 320k   84M|  5   6  90   0   0   0
 396k   85M|  5   5  89   1   0   0
 315k   77M|  6   6  88   0   0   0
 333k   84M|  5   5  90   0   0   0
 349k   86M|  6   6  88   0   0   0
 337k   86M|  6   4  89   0   0   1
 345k   89M|  4   5  91   0   0   0
 352k   90M|  5   6  88   1   0   0
 357k   93M|  7   7  86   0   0   1
 364k   93M|  5   6  89   0   0   0
 373k   91M|  4   5  90   0   0   0
 352k   89M|  6   6  88   0   0   0
 354k   91M|  6   7  88   0   0   0
 355k   91M|  6   6  86   1   0   1
 360k   92M|  5   6  89   0   0   0
 361k   93M|  5   5  89   0   0   0
 367k   95M|  4   5  91   0   0   0
 365k   86M|  4   5  90   0   0   0
 349k   90M|  6   6  88   0   0   0
 360k   92M|  4   5  90   1   0   0
 374k   97M|  6   6  88   0   0   0
 398k   99M|  7   5  87   0   0   1
 424k   96M|  5   5  89   0   0   0
 387k   94M|  6   5  89   0   0   0
 400k   99M| 15   5  80   0   0   1
 403k  104M| 31   6  61   1   0   1
 418k  101M| 28   6  64   0   0   2
 373k   76M| 21   5  72   0   0   2
 275k   61M| 28   4  67   0   0   1
 216k   52M| 28   5  66   0   0   1
 217k   53M| 27   4  67   0   0   2
 220k   53M| 28   4  66   2   0   0
 171k   40M| 36   3  60   0   0   1
 167k   40M| 47   5  47   0   0   1
 162k   40M|  7   4  89   0   0   1
 128k   27M|  1   2  97   0   0   0
  58k   14M|  2   2  94   2   0   0
  61k   14M|  1   2  97   0   0   0
  61k   14M|  1   2  98   0   0   0
  62k   14M|  2   2  97   0   0   0
  65k   14M|  1   2  97   0   0   0
  69k   16M|  1   2  97   0   0   0
  69k   16M|  2   2  96   1   0   0
  74k   17M|  2   2  97   0   0   0
  76k   18M|  1   3  96   0   0   0
  85k   20M|  1   2  97   0   0   0
  86k   21M|  2   2  96   0   0   0
  98k   23M|  8   2  90   0   0   0
 103k   25M| 26   2  71   1   0   0
 111k   28M|  5   3  91   0   0   0
  70k   11M|  1   2  97   0   0   0
8525B 9702B|  1   1  98   0   0   0
  11k 9756B|  2   2  97   0   0   0
5376B 6072B|  1   1  98   0   0   0
1740B  900B|  1   2  95   3   0   0
2438B   11k|  1   1  98   0   0   0
 324B    0 |  1   2  97   0   0   0
2866B   90k|  2   4  94   0   0   0
7820B  907k|  2   2  97   0   0   0
9438B 1635k|  2   2  97   0   0   0
  16k 3321k|  3   1  95   1   0   0
  28k 5485k|  2   2  96   0   0   0
  44k 9658k|  2   3  95   0   0   0
  62k   14M|  2   2  96   0   0   0
  97k   24M|  3   2  95   0   0   0
 134k   36M|  3   3  94   0   0   0
 206k   42M|  3   4  92   1   0   0
 182k   44M|  3   3  94   0   0   0
 200k   37M|  3   3  94   0   0   0
 175k   40M|  3   3  93   0   0   0
 178k   40M|  4   3  93   0   0   0
 184k   44M|  4   5  92   0   0   0
 176k   42M|  4   4  91   1   0   0
 194k   46M|  3   4  93   0   0   0
 185k   44M|  3   3  94   0   0   0
 196k   47M|  3   4  92   0   0   0
 187k   45M|  4   2  94   0   0   0
 192k   48M|  4   4  92   0   0   0
 193k   46M|  3   3  93   1   0   0
 215k   50M|  3   3  94   0   0   0
 209k   49M|  4   3  93   0   0   0
 226k   53M|  4   4  91   0   0   0
 229k   56M|  3   4  92   0   0   0
 240k   60M|  5   4  92   0   0   0
 263k   65M|  3   4  91   1   0   0
 280k   71M|  4   4  92   0   0   0
 306k   77M|  5   5  91   0   0   0
 321k   83M|  5   5  90   0   0   1
 361k   86M|  5   5  90   0   0   0
 331k   88M|  4   6  90   0   0   0
 365k   97M|  5   7  87   1   0   0
 405k  105M|  5   5  89   0   0   0
 435k   83M|  4   5  90   0   0   1
 347k   88M| 27   6  65   0   0   1
 373k   76M| 29   6  64   0   0   1
 295k   74M| 28   7  64   0   0   1
 314k   77M| 16   6  76   1   0   2
 311k   72M|  3   4  92   0   0   1
 276k   66M|  3   4  93   0   0   0
 254k   63M|  3   4  93   0   0   0
 267k   65M|  3   4  93   0   0   1
 262k   63M|  3   3  94   0   0   0
 249k   62M|  4   3  92   2   0   0
 246k   62M|  4   3  93   0   0   0
 257k   64M|  3   3  94   0   0   0
 265k   64M|  4   2  94   0   0   0
 279k   63M| 18   4  78   0   0   1
 272k   65M| 28   4  66   0   0   2
 277k   67M| 27   5  66   1   0   1
 277k   71M|  3   4  93   0   0   0
 270k   65M|  2   4  94   0   0   0
 248k   62M| 15   4  82   0   0   0
 261k   65M| 28   3  68   0   0   1
 280k   72M| 31   4  64   0   0   2
 304k   71M| 53   6  37   2   0   3
 216k   47M| 32   3  64   0   0   1
 183k   46M| 17   1  82   0   0   0
 161k   37M| 18   2  79   0   0   1
 116k   28M| 23   1  76   0   0   0
 106k   26M|  2   3  93   2   0   0
  40k 4277k|  0   1  99   0   0   0
  12k 9798B|  1   1  99   0   0   0
6350B 9240B|  1   1  98   0   0   0
4276B 6072B|  1   1  99   0   0   0
3576B   12k|  0   1  97   2   0   0
  64B    0 |  0   1  99   0   0   0
 761B    0 |  2   3  96   0   0   0
4617B  249k|  2   2  96   0   0   0
7082B 1017k|  2   1  97   0   0   0
  11k 1908k|  2   1  98   0   0   0
  15k 3095k|  2   2  96   1   0   0
  29k 6019k|  2   2  96   0   0   0
  46k   10M|  2   2  96   0   0   0
  75k   18M|  3   2  95   0   0   0
 108k   27M|  2   2  96   0   0   0
 165k   40M|  3   4  94   0   0   0
 194k   51M|  4   3  91   1   0   0
 257k   71M|  4   3  94   0   0   0
 315k   68M|  4   3  92   0   0   0
 264k   69M|  4   4  92   0   0   0
 269k   72M|  4   4  92   0   0   0
 285k   75M|  3   4  93   0   0   0
 285k   78M|  4   4  91   1   0   0
 307k   80M|  3   4  93   0   0   0
 309k   64M|  2   4  94   0   0   0
 256k   66M|  4   4  93   0   0   0
 258k   67M|  3   3  94   0   0   0
 286k   67M|  4   4  93   0   0   0
 268k   66M|  4   3  92   1   0   0
 262k   69M|  3   4  93   0   0   0
 275k   69M|  4   3  93   0   0   0
 282k   72M|  4   4  93   0   0   0
 288k   73M|  3   3  94   0   0   0
 304k   77M|  4   4  92   0   0   0
 309k   77M|  3   4  92   1   0   0
 309k   80M|  3   4  92   0   0   0
 324k   79M|  3   4  93   0   0   0
 341k   85M|  4   4  92   0   0   0
 365k   90M|  4   5  90   0   0   0
 364k   95M|  4   4  91   0   0   1
 402k  100M|  4   5  90   1   0   0
 389k  105M|  4   5  91   0   0   1
 432k  100M|  7   4  89   0   0   0
 390k   99M| 28   6  64   0   0   1
 432k   95M| 28   6  66   0   0   1
 348k   74M| 27   5  67   0   0   1
 278k   64M| 28   5  65   1   0   1
 235k   58M| 27   5  68   0   0   1
 234k   59M| 28   6  66   0   0   1
 249k   62M| 28   5  67   0   0   1
 243k   61M| 27   4  68   0   0   2
 264k   65M| 28   5  65   2   0   0
 256k   64M| 33   5  61   0   0   1
 269k   68M| 48   6  45   0   0   1
 274k   68M| 15   3  81   0   0   1
 216k   47M| 26   2  72   0   0   1
 169k   37M| 26   2  71   0   0   1
 146k   36M| 26   2  70   2   0   1
 122k   25M| 21   2  77   0   0   0
  74k   17M|  1   1  98   0   0   0
  64k   12M|  1   1  98   0   0   0
  26k 6471k|  1   1  99   0   0   0
  30k 6592k|  1   1  97   2   0   0
  31k 6683k|  1   1  99   0   0   0
  32k 6604k|  0   1  99   0   0   0
  30k 6638k|  1   1  98   0   0   0
  30k 6637k|  1   0  99   0   0   0
  31k 6738k|  1   1  99   0   0   0
  30k 6671k|  1   1  98   1   0   0
  30k 6938k|  1   1  98   0   0   0
  30k 7271k|  1   1  99   0   0   0
  33k 7338k|  1   0  99   0   0   0
  41k 8272k|  1   1  99   0   0   0
  34k 8579k|  1   0  99   0   0   0
  40k 9633k|  1   1  97   2   0   0
  43k   10M|  1   1  99   0   0   0
  48k   11M|  1   1  99   0   0   0
  55k   13M| 22   1  77   0   0   0
  61k   14M| 24   1  74   0   0   1
  66k   16M| 18   1  80   0   0   0
  79k   18M|  1   2  96   1   0   0
  13k 2816B|  0   0 100   0   0   0
8812B 6280B|  1   1  99   0   0   0
4552B 7040B|  0   0  99   0   0   0
3036B 3296B|  0   0  99   0   0   0
1416B 7792B|  0   0  98   2   0   0
 388B    0 |  1   2  97   0   0   0
5442B  443k|  1   0  98   0   0   0
7250B 1002k|  1   1  98   0   0   0
  13k 2203k|  1   1  98   0   0   0
  19k 3457k|  1   1  98   0   0   0
